loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_writeoff,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_bal,total_pymnt
5000,4975, 36 months,0.107,162.87,B,B2,RENT,24000,Verified,0,credit_card,860xx,AZ,27.65,0,1,0,13648,5863.155187
2500,2500, 60 months,0.153,59.83,C,C4,RENT,30000,Source Verified,1,car,309xx,GA,1,0,5,0,1687,1014.53
2400,2400, 36 months,0.16,84.33,C,C5,RENT,12252,Not Verified,0,small_business,606xx,IL,8.72,0,2,0,2956,3005.666844
10000,10000, 36 months,0.135,339.31,C,C1,RENT,49200,Source Verified,0,other,917xx,CA,20,0,1,0,5598,12231.89
3000,3000, 60 months,0.127,67.79,B,B5,RENT,80000,Source Verified,0,other,972xx,OR,17.94,0,0,0,27783,4066.908161
5000,5000, 36 months,0.079,156.46,A,A4,RENT,36000,Source Verified,0,wedding,852xx,AZ,11.2,0,3,0,7963,5632.21
7000,7000, 60 months,0.16,170.08,C,C5,RENT,47004,Not Verified,0,debt_consolidation,280xx,NC,23.51,0,1,0,17726,10137.84001
3000,3000, 36 months,0.186,109.43,E,E1,RENT,48000,Source Verified,0,car,900xx,CA,5.35,0,2,0,8221,3939.135294
5600,5600, 60 months,0.213,152.39,F,F2,OWN,40000,Source Verified,1,small_business,958xx,CA,5.55,0,2,0,5210,647.5
5375,5350, 60 months,0.127,121.45,B,B5,RENT,15000,Verified,1,other,774xx,TX,18.08,0,0,0,9279,1484.59
6500,6500, 60 months,0.147,153.45,C,C3,OWN,72000,Not Verified,0,debt_consolidation,853xx,AZ,16.12,0,2,0,4032,7678.017673
12000,12000, 36 months,0.127,402.54,B,B5,OWN,75000,Source Verified,0,debt_consolidation,913xx,CA,10.78,0,0,0,23336,13947.98916
9000,9000, 36 months,0.135,305.38,C,C1,RENT,30000,Source Verified,1,debt_consolidation,245xx,VA,10.08,0,1,0,10452,2277.32
3000,3000, 36 months,0.099,96.68,B,B1,RENT,15000,Source Verified,0,credit_card,606xx,IL,12.56,0,2,0,7323,3480.269999
10000,10000, 36 months,0.107,325.74,B,B2,RENT,100000,Source Verified,1,other,951xx,CA,7.06,0,2,0,11997,7471.99
1000,1000, 36 months,0.163,35.31,D,D1,RENT,28000,Not Verified,0,debt_consolidation,641xx,MO,20.31,0,1,0,6524,1270.716942
10000,10000, 36 months,0.153,347.98,C,C4,RENT,42000,Not Verified,0,home_improvement,921xx,CA,18.6,0,2,0,24043,12527.15
3600,3600, 36 months,0.06,109.57,A,A1,MORTGAGE,110000,Not Verified,0,major_purchase,067xx,CT,10.52,0,0,0,22836,3785.271965
6000,6000, 36 months,0.117,198.46,B,B3,MORTGAGE,84000,Verified,0,medical,890xx,UT,18.44,2,0,0,0,7167.072893
9200,9200, 36 months,0.06,280.01,A,A1,RENT,77385.19,Not Verified,0,debt_consolidation,921xx,CA,9.86,0,0,0,7314,9460.000848
20250,19142.16108, 60 months,0.153,484.63,C,C4,RENT,43370,Verified,0,debt_consolidation,770xx,TX,26.53,0,3,0,17813,27679.05
21000,21000, 36 months,0.124,701.73,B,B4,RENT,105000,Verified,1,debt_consolidation,335xx,FL,13.22,0,0,0,32135,14034.6
10000,10000, 36 months,0.117,330.76,B,B3,OWN,50000,Source Verified,0,credit_card,799xx,TX,11.18,0,0,0,10056,11907.35
10000,10000, 36 months,0.117,330.76,B,B3,RENT,50000,Not Verified,0,debt_consolidation,917xx,CA,16.01,0,0,0,17800,11540.89198
6000,6000, 36 months,0.117,198.46,B,B3,RENT,76000,Not Verified,1,major_purchase,900xx,CA,2.4,0,1,0,5963,2055.85
15000,15000, 36 months,0.099,483.38,B,B1,MORTGAGE,92000,Verified,0,credit_card,605xx,IL,29.44,0,0,0,13707,15823.99905
15000,8725, 36 months,0.143,514.64,C,C2,RENT,60000,Not Verified,1,debt_consolidation,103xx,NY,15.22,0,1,0,5872,0
5000,5000, 60 months,0.168,123.65,D,D2,RENT,50004,Not Verified,1,other,150xx,PA,13.97,3,0,0,4345,1611.16
4000,4000, 36 months,0.117,132.31,B,B3,MORTGAGE,106000,Not Verified,0,debt_consolidation,326xx,FL,5.63,1,0,0,6110,4486.293519
8500,8500, 36 months,0.117,281.15,B,B3,RENT,25000,Source Verified,0,credit_card,564xx,MN,12.19,0,0,0,6441,10126.08844
4375,4375, 36 months,0.075,136.11,A,A3,MORTGAGE,17108,Source Verified,0,debt_consolidation,141xx,NY,20.34,0,0,0,11210,4899.96
31825,31825, 36 months,0.079,995.82,A,A4,MORTGAGE,75000,Verified,0,debt_consolidation,080xx,NJ,14.03,0,0,0,23151,34886.91378
10000,9975, 60 months,0.16,242.97,C,C5,RENT,29120,Verified,0,debt_consolidation,330xx,FL,22.83,0,1,0,16158,14577.21885
5000,5000, 36 months,0.089,158.77,A,A5,RENT,24044,Verified,0,debt_consolidation,974xx,OR,11.93,0,0,0,2224,5715.56
7000,7000, 36 months,0.16,245.97,C,C5,RENT,34000,Source Verified,0,credit_card,934xx,CA,6.35,0,1,0,6113,8854.510004
12400,12400, 36 months,0.107,403.91,B,B2,RENT,41000,Not Verified,0,credit_card,405xx,KY,11.8,0,2,0,11095,14540.67999
10800,10800, 36 months,0.099,348.03,B,B1,RENT,55596,Source Verified,0,moving,946xx,CA,5.5,0,0,0,2535,12159.18687
15000,15000, 36 months,0.079,469.36,A,A4,RENT,45000,Verified,0,debt_consolidation,445xx,OH,8.48,0,0,0,6704,16663.34403
6000,6000, 36 months,0.124,200.5,B,B4,RENT,36852,Source Verified,0,debt_consolidation,850xx,AZ,10.62,0,1,0,7310,7127.722011
12500,12475, 60 months,0.127,282.44,B,B5,RENT,27000,Verified,0,debt_consolidation,604xx,IL,16.04,0,3,0,10143,16945.87595
9600,9600, 36 months,0.075,298.67,A,A3,RENT,68004,Source Verified,0,other,292xx,SC,6.63,0,0,0,2896,10751.86997
12000,12000, 36 months,0.079,375.49,A,A4,RENT,62300,Not Verified,0,debt_consolidation,088xx,NJ,16.7,0,0,0,8601,13517.36
